,fantasy
511,"A spoof on previous years' epic movies (The Da Vinci Code (2006), The Chronicles of Narnia: The Lion, the Witch and the Wardrobe (2005) + 20 more), TV series, music videos and celebs. 4 orphans are on an epic adventure."
512,The life of a twelve-year-old boy who happens to be a blue cat as he lives with his family and other strange creatures.
513,"Set after the events in Terminator 2: Judgment Day (1991), Sarah Connor and her son, John, try to stay under-the-radar from the government, as they plot to destroy the computer network, Skynet, in hopes of preventing Armageddon."
514,"Continuing his ""legendary adventures of awesomeness"", Po must face two hugely epic, but different threats: one supernatural and the other a little closer to home."
515,A physician who can talk to animals embarks on an adventure to find a legendary island with a young apprentice and a crew of strange pets.
516,A woman gets trapped in a crazy virtual world along with five other humans and are now subject to the whims of wacky AI and their own personal traumas.
517,"The prehistoric family the Croods are challenged by a rival family the Bettermans, who claim to be better and more evolved."
518,"Spider-Men, Peter Parker and Miles Morales, return for an exciting new adventure in the critically acclaimed Marvel's Spider-Man franchise."
519,Ichabod Crane is sent to Sleepy Hollow to investigate the decapitations of three people; the culprit is legendary apparition The Headless Horseman.
520,"A fearless blue-haired girl named Hilda leaves the forest to go to town and find new friends, great adventures, magic and mysterious creatures who might be dangerous."
521,A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born.
522,"A young artist gets stranded in an extensive, immaculate forest in western Ireland, where, after finding shelter, she becomes trapped alongside three strangers, stalked by mysterious creatures each night."
523,"When the Dark Elves attempt to plunge the universe into darkness, Thor must embark on a perilous and personal journey that will reunite him with doctor Jane Foster."
524,"During the French Revolution, vampire hunter prodigy Richter Belmont fights to uphold his family's legacy and prevent the rise of a ruthless, power-hungry vampire."
525,"A terrifying evil has emerged. The wolves howl once again, but only a Werewolf like Scott McCall, can gather both new allies and reunite trusted friends to fight back against what could be the most powerful and deadliest enemy."
526,"As an Orc horde invades the planet Azeroth using a magic portal, a few human heroes and dissenting Orcs must attempt to stop the true evil behind this war."
527,Teenage explorer Dora leads her friends on an adventure to save her parents and solve the mystery behind a lost city of gold.
528,"A look at the relationship between Mike Wazowski (Billy Crystal) and James P. ""Sully"" Sullivan (John Goodman) during their days at Monsters University, when they weren't necessarily the best of friends."
529,"Follows Franklin and Irene York, a couple who years ago discovered a chamber buried in their backyard which inexplicably leads to a strange, deserted planet."
530,A young boy and his grandmother have a run-in with a coven of witches and their leader.
531,"After a deadly plague kills most of the world's population, the remaining survivors split into two groups - one led by a benevolent elder and the other by a malevolent being - to face each other in a final battle between good and evil."
532,"Henry Spencer tries to survive his industrial environment, his angry girlfriend, and the unbearable screams of his newly born mutant child."
533,A shallow man falls in love with a 300-pound woman because of her inner beauty.
534,"Accidentally sent to the world of the Boiling Isles before a trip to summer camp, a teenage human named Luz longs to become a witch and is aided by rebellious Eda and pint-sized demon King."
535,A childless couple discovers a mysterious newborn on their farm in Iceland.
